date,new_confirmed,new_suspected,reclassification_note,raw_delta_confirmed,raw_delta_suspected
2026-05-14,8,246,,,
2026-05-17,5,0,,,
2026-05-18,20,270,,,
2026-05-19,18,59,,,
2026-05-20,13,96,,,
2026-05-21,19,75,,,
2026-05-22,8,121,,,
2026-05-23,10,37,,,
2026-05-24,4,2,,,
2026-05-25,1,92,,,
2026-05-26,15,79,,,
2026-05-27,4,0,Decrease reflects case reclassification/removal,4,-171
2026-05-28,85,0,Decrease reflects case reclassification/removal,85,-557
2026-05-29,53,0,,,
2026-05-30,0,0,Decrease reflects case reclassification/removal,-25,-28
2026-05-31,83,0,Decrease reflects case reclassification/removal,83,-101
2026-06-01,23,69,,,
2026-06-02,19,0,Decrease reflects case reclassification/removal,19,-83
2026-06-03,18,0,,,
2026-06-04,71,0,Decrease reflects case reclassification/removal,71,-53
2026-06-05,36,0,Decrease reflects case reclassification/removal,36,-34
2026-06-06,27,0,Decrease reflects case reclassification/removal,27,-2
2026-06-07,35,0,Decrease reflects case reclassification/removal,35,-23
2026-06-08,48,44,,,
2026-06-09,37,0,Decrease reflects case reclassification/removal,37,-19
2026-06-10,41,0,,,
2026-06-11,13,49,,,
2026-06-13,93,0,Decrease reflects case reclassification/removal,93,-32
